match_id,team1,team2,team1_win_rate,team2_win_rate,win_rate_diff,team1_recent_wins,team2_recent_wins,recent_diff,h2h_rate,team1_avg_acs,team2_avg_acs,acs_diff,target
649760,WIP Esports,Nuxeria Esport,0.5,0.5,0.0,0,0,0,0.5,205.0,180.8,24.2,1
628333,oi posso fala,MIBR GC,1.0,1.0,0.0,1,1,0,0.5,203.7,195.5,8.2,0
628334,Gênias do Bem,malvadinhas 3.0,0.0,1.0,-1.0,0,1,-1,0.5,227.9,172.6,55.3,1
620365,KRÜ BLAZE,Looking For Laburo,0.5,0.5,0.0,1,1,0,1.0,204.2,173.3,30.9,1
628335,Forged to Shine GC,PÃO COM RATO,0.0,0.0,0.0,0,0,0,0.5,165.6,196.1,-30.5,0
620389,MYVRA GC,No Sweat Blossom,0.5,0.5,0.0,1,1,0,1.0,168.3,207.1,-38.8,0
644656,Team Secret,Kiwoom DRX,0.5,0.5,0.0,0,0,0,0.5,170.3,201.1,-30.8,0
642924,Trace Esports,Xi Lai Gaming,1.0,1.0,0.0,1,1,0,0.5,214.1,205.3,8.8,0
644657,Rex Regum Qeon,ZETA DIVISION,0.5,0.5,0.0,0,0,0,0.5,179.9,194.0,-14.1,1
642925,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),JD Mall JDG Esports(JDG Esports),0.0,1.0,-1.0,0,1,-1,0.5,204.2,199.7,4.5,1
649761,Esprit Shōnen,Mandatory,0.0,0.5,-0.5,0,2,-2,0.5,186.2,195.2,-9.0,0
649794,Galatasaray Esports,FUT Esports Academy,0.5,0.5,0.0,0,0,0,0.5,195.4,212.6,-17.2,0
649762,F9 EICAR,Joblife,0.5,0.5,0.0,0,0,0,0.5,194.6,195.7,-1.1,1
649815,Dortmund eSports,Eintracht Frankfurt,0.5,0.5,0.0,0,0,0,0.5,201.0,219.5,-18.5,0
650488,KPI Gaming,HGE Esport,0.5,0.5,0.0,0,0,0,0.5,179.4,192.8,-13.4,1
650955,GnG Esports,Vibranium Esports,0.5,0.5,0.0,0,0,0,0.5,195.0,233.0,-38.0,1
649795,REBORN,GHOSTS,0.5,0.5,0.0,0,0,0,0.5,221.6,185.0,36.6,1
650486,Falke Esports,Melilla Titans,0.5,0.5,0.0,0,0,0,0.5,188.4,156.8,31.6,1
650957,Ghools Esports,Gamax Esports,0.5,0.5,0.0,0,0,0,0.5,204.2,212.4,-8.2,0
649816,ALTERNATE aTTaX,FOKUS,0.5,0.5,0.0,0,0,0,0.5,176.3,204.9,-28.6,0
649763,Galions,WIP Esports,1.0,1.0,0.0,1,1,0,0.5,183.8,205.0,-21.2,0
628338,oi posso fala,PÃO COM RATO,0.5,0.5,0.0,1,1,0,0.5,203.7,196.1,7.6,0
648102,AGELITE,REJECT,1.0,1.0,0.0,1,1,0,0.5,200.3,201.2,-0.9,0
648103,FENNEL,Murash Gaming,0.5,1.0,-0.5,2,1,1,0.5,207.8,215.3,-7.5,1
649796,Beşiktaş Esports,Bushido Wildcats,0.5,0.0,0.5,0,0,0,0.5,226.9,162.9,64.0,1
650490,Barça eSports,Falke Esports,0.5,1.0,-0.5,0,1,-1,0.5,205.9,188.4,17.5,1
650491,NOVO Esports,Otakar Esports,0.5,0.5,0.0,0,0,0,0.5,167.7,225.9,-58.2,0
649764,Joblife,Caldya Esport,0.0,1.0,-1.0,0,1,-1,0.5,195.7,218.7,-23.0,1
649797,Misa Esports,Eternal Fire Passion,0.5,1.0,-0.5,1,1,0,0.5,222.6,191.7,30.9,1
650492,UCAM Esports Club,KPI Gaming,0.0,1.0,-1.0,0,1,-1,0.5,206.9,179.4,27.5,1
650493,DNSTY,Ramboot Club,0.5,0.5,0.0,0,0,0,0.5,191.9,198.7,-6.8,1
649765,Nuxeria Esport,F9 EICAR,0.0,1.0,-1.0,0,1,-1,0.5,180.8,194.6,-13.8,1
620363,Olimpo Gold,KRÜ BLAZE,1.0,0.667,0.333,2,2,0,1.0,210.7,204.2,6.5,0
648747,Shopify Rebellion Gold,ROSE,0.0,0.0,0.0,0,0,0,0.5,197.6,179.8,17.8,0
648748,Evil Geniuses Academy,Division One,0.0,0.0,0.0,0,0,0,0.5,194.5,205.1,-10.6,1
650874,MIBR GC,Lost Puppies Quackers,1.0,0.5,0.5,2,0,2,0.5,195.5,190.0,5.5,1
650875,Team Liquid Brazil,Team Gaseous,1.0,0.5,0.5,1,0,1,0.5,199.3,190.0,9.3,1
648750,Nightblood Gaming,Pigeons,0.0,0.0,0.0,0,0,0,0.5,202.6,222.1,-19.5,1
650876,Paysandu Esports,MIBR GC,0.333,1.0,-0.667,1,3,-2,0.5,203.1,195.5,7.6,1
650877,Remo Esports,Team Liquid Brazil,0.0,1.0,-1.0,0,2,-2,0.5,188.7,199.3,-10.6,0
648749,Shopify Rebellion Black,QoR,0.0,1.0,-1.0,0,1,-1,0.5,204.4,213.7,-9.3,1
648105,REIGNITE FOXX,Insomnia,0.5,0.0,0.5,2,0,2,1.0,203.4,192.4,11.0,0
642927,FunPlus Phoenix,TYLOO,0.5,1.0,-0.5,1,2,-1,0.5,192.8,215.9,-23.1,1
648106,WEC C,RIDDLE ORDER,0.0,0.0,0.0,0,0,0,0.5,168.6,204.3,-35.7,0
648482,Team Falcons Vega,TRENTITAS,0.5,0.5,0.0,0,0,0,0.5,224.6,158.8,65.8,1
642928,Wuxi Titan Esports Club(Titan Esports Club),Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),0.0,0.5,-0.5,0,1,-1,0.5,195.2,204.2,-9.0,1
648483,IVY,Azure GC,0.5,0.5,0.0,0,0,0,0.5,194.5,208.1,-13.6,1
649798,Fire Flux Esports,REBORN,0.5,1.0,-0.5,0,1,-1,0.5,197.7,221.6,-23.9,0
650494,Barça eSports,Otakar Esports,1.0,1.0,0.0,1,1,0,0.5,205.9,225.9,-20.0,1
650501,NOVO Esports,HGE Esport,0.0,0.0,0.0,0,0,0,0.5,167.7,192.8,-25.1,0
651540,RIZON,CGN Esports,1.0,1.0,0.0,1,1,0,0.5,209.5,213.4,-3.9,0
651541,AKA HERO,FOKUS,0.0,1.0,-1.0,0,1,-1,0.5,185.3,204.9,-19.6,0
649799,GHOSTS,Galatasaray Esports,0.0,0.0,0.0,0,0,0,0.5,185.0,195.4,-10.4,0
650499,Ramboot Club,Melilla Titans,0.0,0.0,0.0,0,0,0,0.5,198.7,156.8,41.9,1
650495,UCAM Esports Club,DNSTY,0.333,1.0,-0.667,1,1,0,0.5,206.9,191.9,15.0,0
651542,ALTERNATE aTTaX,Eintracht Frankfurt,0.0,1.0,-1.0,0,1,-1,0.5,176.3,219.5,-43.2,0
651543,eSports Cologne,Dortmund eSports,0.0,0.0,0.0,0,0,0,0.5,180.8,201.0,-20.2,0
648751,M80,NRG Academy,1.0,0.0,1.0,1,0,1,0.5,211.7,186.9,24.8,1
648752,SaD Esports,Evictix,1.0,1.0,0.0,1,1,0,0.5,210.7,192.7,18.0,1
650880,MIBR GC,Team Gaseous,0.75,0.0,0.75,3,0,3,0.5,195.5,190.0,5.5,0
620387,Akave Esports GC,No Sweat Blossom,1.0,0.667,0.333,2,2,0,0.5,179.6,207.1,-27.5,1
648754,FlyQuest,Alliance Guardians,1.0,1.0,0.0,1,1,0,0.5,206.7,192.9,13.8,1
648753,Azure Dragon Gaming,YFP,1.0,1.0,0.0,1,1,0,0.5,180.8,227.9,-47.1,0
650879,Lost Puppies Quackers,Remo Esports,0.0,0.0,0.0,0,0,0,0.5,190.0,188.7,1.3,0
648107,Murash Gaming,Insomnia,0.5,0.333,0.167,1,1,0,0.5,215.3,192.4,22.9,0
648108,AGELITE,RIDDLE ORDER,0.5,0.333,0.167,1,1,0,0.5,200.3,204.3,-4.0,0
647402,T1 Academy,DRX Academy,0.0,0.0,0.0,0,0,0,0.5,219.1,188.1,31.0,1
642929,Xi Lai Gaming,Nova Esports,1.0,0.0,1.0,2,0,2,0.5,205.3,171.9,33.4,1
651751,Asterisk,S8UL Esports,0.667,1.0,-0.333,2,3,-1,0.0,195.2,223.8,-28.6,0
648104,REJECT,FENNEL,1.0,0.6,0.4,2,3,-1,0.5,201.2,207.8,-6.6,0
647403,Dplus Esports,ARETE,0.0,0.0,0.0,0,0,0,0.5,207.4,180.3,27.1,1
648484,36 Thieves,Team HAQ,0.5,0.5,0.0,0,0,0,0.5,208.0,171.7,36.3,1
642930,EDward Gaming,Trace Esports,1.0,0.5,0.5,2,1,1,0.5,229.8,214.1,15.7,1
651752,Revenant XSpark,Gods Reign,1.0,0.333,0.667,3,1,2,1.0,198.4,219.2,-20.8,1
648485,Stallions Lyra,Matilda GC,0.5,0.5,0.0,0,0,0,0.5,206.4,224.0,-17.6,1
644716,PCIFIC Esports,GIANTX,0.0,0.0,0.0,0,0,0,0.5,184.1,186.3,-2.2,0
644717,BBL Esports,Eternal Fire,1.0,0.0,1.0,1,0,1,0.5,175.9,201.5,-25.6,0
650878,Paysandu Esports,Team Liquid Brazil,0.5,1.0,-0.5,2,3,-1,0.5,203.1,199.3,3.8,0
650881,Remo Esports,Team Gaseous,0.25,0.5,-0.25,1,1,0,0.5,188.7,190.0,-1.3,1
650938,Chivas Esports,Tezcat Gaming,0.5,0.5,0.0,0,0,0,0.5,168.4,227.6,-59.2,0
650943,AB3 Esports,FUEGO,0.5,0.5,0.0,0,0,0,0.5,217.2,200.8,16.4,1
648109,Insomnia,RIDDLE ORDER,0.5,0.5,0.0,2,2,0,0.5,192.4,204.3,-11.9,1
647400,ONSIDE GAMING,Gen.G Global Academy,1.0,1.0,0.0,2,2,0,0.5,207.1,219.7,-12.6,1
642931,JD Mall JDG Esports(JDG Esports),All Gamers,0.5,0.5,0.0,1,1,0,0.5,199.7,188.8,10.9,0
651753,S8UL Esports,Revenant XSpark,1.0,1.0,0.0,4,4,0,0.5,223.8,198.4,25.4,1
